         Seed   Temp  SE_cost  RM_cost   R_cost  RR_cost  SE  RM   R   N_states            Time
   2796548016   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12500400
   3814380397   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12100400
   3427187653   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12327200
   3479700458   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11876000
   3329559242   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11806600
   2931416467   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11355000
   2077291086   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12001300
   2658691001   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11216300
   2434955889   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12052200
   2066749535   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11518600
   3070727838   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12931000
   1903753630   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12924300
   3248436046   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11591100
   2966169756   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11869500
   3027000048   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.13133200
   2714835299   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12266300
   1827569669   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12703100
   2048443347   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12027400
   2606949897   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11918800
   2903818700   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12396000
   1723539340   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11915400
   3308940467   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12700800
   3545276898   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11732100
   2503727832   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11292100
   3066039227   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.15624900
   3693256652   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.13874900
   2127779257   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.10887600
   1851489505   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11099600
   2864981343   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12352500
   3817923679   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11393600
   2166086822   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11884300
   2666674407   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11472800
   2380026831   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11427500
   2535243185   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.11991500
   2426798112   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12023000
   1777095019   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12300600
   1731044630   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.13237900
   1988590423   50.0    -1.00    -1.00     1.00     2.00   0   0   5         57      0.12726300
