         Seed   Temp  SE_cost  RM_cost   R_cost  RR_cost  SE  RM   R   N_states            Time
   2698892378   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.13303000
   2646280835   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA        611      0.16897800
   3799128895   50.0    -1.00    -1.00     1.00     2.00   0   0   6        172      0.13871100
   1926397782   50.0    -1.00    -1.00     1.00     2.00   0   0   6        163      0.14958700
   1975621718   50.0    -1.00    -1.00     1.00     2.00   0   0   6        170      0.14765900
   3504108127   50.0    -1.00    -1.00     1.00     2.00   0   0   6        175      0.14755600
   1863069366   50.0    -1.00    -1.00     1.00     2.00   0   0   6        177      0.15841400
   3773759607   50.0    -1.00    -1.00     1.00     2.00   0   0   6        196      0.14591200
   2230724191   50.0    -1.00    -1.00     1.00     2.00   0   0   6        150      0.14130200
   1709825324   50.0    -1.00    -1.00     1.00     2.00   0   0   6        166      0.15601100
   3340675693   50.0    -1.00    -1.00     1.00     2.00   0   0   6        156      0.13980500
   3422635658   50.0    -1.00    -1.00     1.00     2.00   0   0   6        197      0.13603900
   2492250667   50.0    -1.00    -1.00     1.00     2.00   0   0   6        165      0.12786700
   2657205854   50.0    -1.00    -1.00     1.00     2.00   0   0   6        162      0.13863100
   1725708903   50.0    -1.00    -1.00     1.00     2.00   0   0   6        191      0.14764300
   2136348805   50.0    -1.00    -1.00     1.00     2.00   0   0   6        157      0.12786500
   2095040847   50.0    -1.00    -1.00     1.00     2.00   0   0   6        166      0.14036100
   2097660543   50.0    -1.00    -1.00     1.00     2.00   0   0   6        151      0.12932800
   3255341533   50.0    -1.00    -1.00     1.00     2.00   0   0   6        151      0.12553900
   3589160655   50.0    -1.00    -1.00     1.00     2.00   0   0   6        150      0.13527600
   3206964690   50.0    -1.00    -1.00     1.00     2.00   0   0   6        187      0.14010500
   3318877639   50.0    -1.00    -1.00     1.00     2.00   0   0   6        163      0.13464300
   1751352850   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.13443100
   3738932159   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.13375400
   2388899183   50.0    -1.00    -1.00     1.00     2.00   0   0   6        165      0.13842300
   2144965582   50.0    -1.00    -1.00     1.00     2.00   0   0   6        170      0.13809200
   1890833935   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.13541700
   2592413673   50.0    -1.00    -1.00     1.00     2.00   0   0   6        157      0.13483200
   2293536817   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.14141700
   2503951085   50.0    -1.00    -1.00     1.00     2.00   0   0   6        175      0.14146100
   2761289089   50.0    -1.00    -1.00     1.00     2.00   0   0   6        157      0.12917200
   2624231981   50.0    -1.00    -1.00     1.00     2.00   0   0   6        175      0.13860700
   3419293679   50.0    -1.00    -1.00     1.00     2.00   0   0   6        154      0.14693000
   3809791497   50.0    -1.00    -1.00     1.00     2.00   0   0   6        170      0.13941000
   3282474928   50.0    -1.00    -1.00     1.00     2.00   0   0   6        160      0.15576100
