         Seed   Temp  SE_cost  RM_cost   R_cost  RR_cost  SE  RM   R   N_states            Time
   2076250803   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       9598      0.32783700
   1684044706   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       8101      0.27290300
   2006607428   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      11849      0.37550500
   1860021539   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       5680      0.22149600
   3073441429   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       4992      0.18910900
   2316298063   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      12112      0.35838500
   3392987215   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       3990      0.17259100
   3368567107   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       4356      0.16696200
   3057104298   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       4402      0.17666900
   2337077725   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       9926      0.32145200
   2139111012   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       4200      0.17227600
   2224368602   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       3642      0.15674500
   3452518652   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       6851      0.24657000
   3592486962   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       9025      0.29287800
   1695343035   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       4481      0.18465300
   2838395802   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       6261      0.22894400
   2298915535   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       3791      0.15718800
   2784414999   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       7723      0.24175200
   2764411563   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       7404      0.20059300
   3279050398   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       6050      0.23368200
   3406574120   50.0    -1.00    -1.00     1.00     2.00   0   0  24       5018      0.20410300
   1808848456   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       8679      0.31249600
   1982177366   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       9571      0.25914800
   2153087960   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      10141      0.31847100
   3508396779   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       7229      0.25621900
   2316783726   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       8048      0.29019300
   2181534751   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       4985      0.19533800
   1887105180   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      10887      0.35711900
   2338452864   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       9990      0.35224900
   1866464665   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       9608      0.30930200
   3274426317   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      14189      0.43679000
   3084544872   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      11317      0.37194500
   3018839888   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       9484      0.32166200
   2477521704   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      12034      0.37693700
   1720940071   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      12684      0.34741600
   3659200078   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      16893      0.52928500
   3102863069   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA       7569      0.28657600
