         Seed   Temp  SE_cost  RM_cost   R_cost  RR_cost  SE  RM   R   N_states            Time
   3203800894   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      44013      1.13036100
   1983248343   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      28252      0.75157800
   3683260423   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32246      0.92554200
   2857209763   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36798      0.95920300
   3120275311   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34866      1.03461400
   1794337599   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      44649      1.25582600
   2313457702   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      24717      0.69637200
   3411228569   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33064      0.93088000
   2396528684   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35708      0.90810900
   2809666388   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34561      1.01985500
   2893891889   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      26234      0.75645100
   2021868641   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38202      1.15187100
   3196835213   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29757      1.21813000
   1677317683   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      28273      0.75815800
   2933695451   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29003      0.94641700
   1873771352   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38498      1.10597900
   3343862644   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36708      1.02672500
   3121349095   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38115      1.07135100
   2406617083   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31025      0.87600100
   1863247083   50.0    -1.00    -1.00     1.00     2.00   0   0  38      23811      0.68259600
   2452455901   50.0    -1.00    -1.00     1.00     2.00   0   0  37      19421      0.57202700
   3773619746   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29743      0.82350600
   2719696320   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      42335      1.14461500
   2366087093   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      39474      1.12157100
   1873754742   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29652      0.82576400
   3600073613   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36873      1.09377000
   1746266251   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      45055      1.29739700
   3707808389   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      28379      0.74989400
   3349015868   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      46693      1.48099000
   3723531813   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      42024      1.24970700
   1847330785   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32406      0.94685400
   2863970727   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      39478      1.15988800
   1905476812   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      46001      1.29734700
   3435747211   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37279      1.05901900
   3466598522   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31819      0.96302200
   3466925562   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36712      1.08795500
   2370670700   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      40686      1.15198900
   3516978937   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      39418      1.00661000
   3685794515   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37330      1.02682800
   3198890491   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      45296      1.14475900
   1752538814   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      55658      1.36825000
   3455276391   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      25445      0.76805600
   3799992667   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35104      0.95951900
   2207027819   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37541      1.05576300
   2662951700   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      60031      1.54050400
   2260779018   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      47937      1.28928700
   2262953166   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      35940      0.99607400
   2675043147   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32450      0.92188700
   2554863437   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      30380      0.82712200
   2818096507   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      42831      1.19692600
   3311325382   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31782      0.94287400
   3514637545   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33930      1.00459600
   1890643513   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38036      1.15536300
   2623263792   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33198      0.87017500
   3768502738   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      42455      1.27084600
   2193840783   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      42240      1.09429800
   1920570975   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      47130      1.29973600
   2445467262   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37387      1.13659400
   1714139463   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31058      0.84572100
   2298048296   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31988      0.94609900
   3522837367   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      47863      1.46162700
   3424136138   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      30413      1.03159600
   1700716830   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31831      0.91396600
   2403059263   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      40077      1.19646200
   2464577382   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      41329      1.09097700
   2445536907   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38603      1.16031800
   3808369081   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      40066      1.20087900
   3450427221   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32707      0.84255100
   2432237171   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      40503      1.22212500
   2321743385   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32602      0.89799200
   1740400879   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      27058      0.74092700
   3030242199   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      26664      0.80279200
   3605858661   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37437      1.11287700
   1701724579   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      46075      1.31265400
   2621760893   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34109      0.97765800
   1789890344   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      30339      0.84605100
   2000949784   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33679      1.04676100
   2421387589   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31527      0.93285100
   3243755389   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      43573      1.25178400
   1683147831   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31771      0.92427100
   2767342202   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31927      0.92879600
   3453538945   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      28310      0.90452200
   2220768371   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      36963      0.98887900
   3386183466   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      45647      1.10731500
   3164999424   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      25577      0.76727400
   3539750177   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      32776      0.93919300
   3812795241   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33977      0.90186400
   2854717883   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31922      0.85131800
   1971491604   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      27555      0.81140900
   2020125276   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      40395      1.33409200
   2437789240   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      23632      0.75321100
   3222307565   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31891      0.86807100
   3139561318   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37216      0.97468100
   3099776758   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      49340      1.41801600
   2656600774   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34462      0.87686900
   2961117800   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      47223      1.26363900
   2156168101   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      60015      1.66719000
   3399630964   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29265      0.83935500
   3616251857   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      31571      1.00066100
   3412242270   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      26768      0.88715000
   3794393034   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      27637      0.80254100
   3604548681   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      29479      0.76249300
   3002379235   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      28539      0.89659800
   2010946929   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      26248      0.67427800
   2023445962   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      27733      1.02123400
   2154778152   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      27094      1.02668100
   2621343366   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      28540      0.74193700
   2538862053   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      30354      0.85542400
   3254196208   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38129      1.08382400
   3201451086   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      42615      1.27073400
   3199529813   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33255      0.93573600
   2794075347   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      30708      0.90298700
   3383134863   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      41742      1.28038700
   3146342038   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      38961      1.12931100
   2568731122   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      34490      0.99128800
   2513226421   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33520      1.00641200
   2590591106   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      42785      1.23095200
   2036850206   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      27470      0.76636500
   3623110232   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      37032      1.03035600
   3294195737   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      46941      1.41672500
   2816158460   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      30735      0.95911400
   2782570249   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      27386      0.79995900
   1953256948   50.0    -1.00    -1.00     1.00     2.00  NA  NA  NA      33164      1.01577000
